"A-204","A-673","A549/ATCC","ASPS-1","CHA-59","CHLA-10","CHLA-25","CHLA-258","CHLA-32","CHLA-9","CHP-100","COG-E-352","DDLS","ES-1","ES-2","ES-3","ES-4","ES-6","ES-7","ES-8","EW8","G-401","hMSC","HOS","Hs 132.T","Hs 706.T","Hs 729","Hs 913.T","HSSY-II","HT-1080","Hu09","JJ012","KHOS NP","KHOS-240S","KHOS-312H","LS141","MES-SA","MES-SA Dx5","MHM-25","MHM-8","MPNST","NHAC-kn","NHDF","NHOst","OHS","RD","RD-ES","Rh18","Rh28","Rh28 PX11/LPAM","Rh30","Rh36","Rh41","SAOS-2","SJCRH30(RMS 13)","SJSA-1","SK-ES-1","SK-LMS-1","SK-N-MC","SK-UT-1","SK-UT-1B","SkMC","ST8814","SW 1353","SW 684","SW 982","SYO-1","TC-32","TC-71","U-2 OS","VA-ES-BJ"
8.284832642,8.126098402,7.36404538275,6.48148606,NA,8.54668166,8.027797162,8.415668776,8.149353765,NA,8.235823868,8.120330794,8.396855627,8.453457337,8.474955193,8.178486472,8.818156412,7.89279003,8.651695137,8.634512015,8.527243551,8.818156412,NA,8.263603498,6.910094889,8.248720896,8.488116639,8.229884705,8.818156412,7.70333481,8.127261173,NA,7.568636236,7.602059991,7.692503962,7.906578315,8.468521083,6.181114585,7.679853714,7.950781977,7.420216403,NA,NA,NA,8.080398976,8.30400096933333,8.226213555,7.954677021,7.774690718,NA,8.257274869,8.224025669,8.764471553,7.958607315,8.524328812,7.585026652,8.476253533,7.716698771,8.404503778,8.163043263,8.474955193,NA,7.690369833,8.619788758,7.966576245,8.476253533,8.749579998,8.818156412,8.266000713,8.303643611,8.747146969
7.438898616,6.958607315,7.09189732416667,6.607303047,6.982966661,6.954677021,6.774690718,5.928117993,6.732828272,7.015022874,6.795880017,6.8569852,6.823908741,7.341035157,7.064996849,7.310691141,6.829738285,6.632644079,7,8.818156412,7.01278077,7.815308569,NA,7.149966742,NA,7.139063379,7.602059991,8.818156412,7.562249437,6.896196279,6.804100348,NA,6.739928612,6.924453039,6.777283529,6.826813732,6.774690718,6.73754891,6.559090918,6.684029655,6.625251654,NA,NA,NA,7.11577123,6.935542011,6.974694135,6.872895202,6.543633967,7.26760624,6.744727495,7.118045029,7.397940009,6.913640169,7.107348966,7.073143291,7.298432015,6.728158393,7.156144577,6.578396073,6.718966633,NA,6.607303047,6.749579998,6.735182177,6.804100348,7.696803943,7.290730039,7.123782159,6.806875402,7.238824187
6.645891561,6.565431096,6.273308836375,5,NA,6.701146924,7.112945622,6.137868621,6.014124643,NA,6.283996656,7.3400838,5,6.698970004,6.019996628,7.035269079,6.26760624,6.974694135,7.11407366,6.679853714,7.277366077,6.468521083,NA,7.17327748,5,5.187086643,7.308918508,7.36552273,7.552841969,6.269217724,5.661543506,NA,6.316952962,5.943095149,6.11463878,6.413412695,7.03574037,6.416801226,6.707743929,6.518557371,6.283996656,NA,NA,NA,6.037630664,6.884694903,6.542118103,5.208309351,6.311580178,NA,7.111820506,7.005243055,7.759450752,6.341988603,7.863279433,5.444905551,6.528708289,6.149966742,7.496209317,7.202040356,6.838631998,NA,6.534617149,6.339134522,5,7.225483034,7.610833916,7.187755303,6.93930216,6.1123827,5.882728704
4.37161107,5.304518324,4,4,NA,5.062983893,4,4,4.331614083,NA,4.389339837,4.317854924,4.134896025,7.818156412,5.140861703,4.798602876,5.754487332,4.869666232,5.382999659,4.806875402,NA,6.000434512,NA,5.240332155,4,4,4.135488919,4.379863945,4.598599459,4,4.253365801,NA,4.401209493,4.245651664,4.251811973,4.109020403,4.66756154,4,4.195860568,4.347753659,4,NA,NA,NA,5.395773947,4.039950343,4.543633967,4.083546051,4,NA,4.302770657,4,4,4.331614083,4.17327748,4,5.517126416,4,5.154281982,4.322393047,4.565431096,NA,4.289882635,4,4,4,5.596879479,6.207608311,5.068033885,4,4.384049948
8.211124884,7.638272164,6.924800997875,5.623423043,NA,7.928117993,7.681936665,7.838631998,7.40560745,NA,8.091514981,7.829738285,7.795880017,8.118615343,8.494850022,7.982966661,7.71219827,7.293282218,8.366531544,8.279014256,8.651695137,8.818156412,NA,7.847711656,5.128427064,7.415668776,7.649751982,7.701146924,8.229884705,7.396855627,7.782516056,NA,7.124360063,7.554395797,7.692503962,7.416801226,7.931814138,5.806875402,7.20481541,7.449771647,6.962573502,NA,NA,NA,7.442492798,7.66620415866667,7.793174124,6.777283529,7.437707136,NA,7.752026734,7.752026734,8.191114133,7.287350298,8.244887734,6.718966633,7.659555885,7.458420756,7.847711656,7.995678626,8.09420412,NA,7.196542884,7.91721463,7.109578981,7.560667306,8.211124884,8.818156412,7.787812396,7.832682665,7.869666232
8.11396316833333,7.864774887,6.76205617441667,5.63846686211111,7.32395490283333,8.0731601255,7.79342250855556,7.943846088375,7.35271898977778,8.74743641733333,8.09353806055556,7.72896991133333,8.09723527333333,8.13871978014286,8.16388690688889,8.10196186322222,7.86884169444444,7.32932613577778,8.238895484,8.16427330244444,8.4393496665,8.66572031085714,NA,7.75969099036364,6.522738252,7.54875805866667,7.55107362544444,7.69848235522222,8.19325365611111,7.8101675,7.68693705044444,NA,7.134501622,7.42494829154545,7.49152497111111,7.09257010872727,7.454343447,5.92491081422222,6.99046825188889,7.44853462988889,7.16359673277778,NA,NA,NA,7.59919422933333,7.6937343282,7.81753463355556,6.99456075577778,6.66534105944444,8.261255932,7.62932405988889,7.34219746422222,7.66252374255556,7.30190044811111,8.036993677375,6.94786918144444,8.09594528611111,7.21530028488889,7.82554044311111,7.79899789577778,8.27399907588889,NA,7.05491652633333,8.40908190844444,7.85958939466667,8.30819058742857,8.58625009744445,8.78635229533333,8.00672398744445,7.54818895588889,8.20699671875
6.581698709,7.175874166,5.65356615,5,NA,7.007446482,5.910094889,6.248720896,5.896196279,NA,6.910094889,6.218244625,7.675717545,8.818156412,6.801342913,6.234331445,7.590066877,7.07007044,7.630784143,7.36251027,7,8.818156412,NA,8.818156412,5,5,6.406713933,7.630784143,8.298432015,6.590066877,6.233587153,NA,6.014573526,6.779891912,6.440093375,6.307153081,6.73754891,6.472370099,6.43062609,6.387216143,6.655607726,NA,NA,NA,8.11463878,6.27442576733333,6.111259039,6.555955204,6.55129368,NA,6.744727495,5.262012674,5,7.355561411,6.133712661,6.578396073,6.63638802,6.229884705,7.156144577,7.396855627,8.13667714,NA,7.233587153,6.643974143,6.591760035,7.507239611,8.425968732,8.818156412,7.145693958,6.826813732,6.632644079
8.187755303,8.673664139,8.32935418057143,6.235823868,NA,8.818156412,8.718966633,8.356547324,8.617982957,NA,8.818156412,8.539102157,8.511449283,8.818156412,8.759450752,8.598599459,8.71219827,8.818156412,8.716698771,8.752026734,8.818156412,8.818156412,NA,8.818156412,5,8.129011186,8.739928612,8.659555885,8.818156412,8.151810883,8.659555885,NA,7.663540266,7.555955204,7.71219827,8.268411235,8.782516056,5.605548319,8.507239611,8.477555766,8.083019953,NA,NA,NA,8.630784143,8.6595377755,8.818156412,8.696803943,8.818156412,NA,8.818156412,8.818156412,8.619788758,8.37161107,8.790484985,8.173925197,8.623423043,8.253365801,8.76700389,8.616184634,8.68613278,NA,8.175874166,8.818156412,8.73754891,8.818156412,8.70333481,8.818156412,8.673664139,8.032920266,8.818156412
5.860120914,6.166852888,5,5,NA,5,5,5,6.716698771,NA,6.059981845,5,6.503070352,6.759450752,5.555955204,6.301899454,6.234331445,6.71219827,6.329754147,6.299296283,6.017728767,7.591760035,NA,5.739928612,5,5,5.347753659,5.772113295,7.484126156,5,5,NA,5,5,5.148130399,5,5.93930216,5,5.161150909,5,5,NA,NA,NA,5.001740662,5.4236769845,5,5,5,NA,7.161780778,5,5.020907099,5.688246139,7.018181393,5.946921557,6.241845378,5,7.36251027,6.26760624,6.319664487,NA,5.450996738,5,5,5.774690718,8.156767222,8.21395879,7.793174124,5,6.284832642
6.954677021,6.653647026,5.88666848683333,5,NA,6.88941029,6.679853714,7.196542884,6.441291429,NA,7.072629637,6.795880017,7.235077015,7.145693958,7.476253533,6.982966661,7.231361899,6.107348966,7.374687549,7.333482019,7.557520231,8.317854924,NA,6.815308569,5,6.863279433,7.081445469,6.777283529,7.304518324,6.552841969,6.787812396,NA,6.060480747,6.560667306,6.425968732,6.450996738,6.982966661,5,6.247183569,6.353596274,5.970616222,NA,NA,NA,6.581698709,6.73187082333333,6.70333481,5.777283529,5.8569852,NA,6.903089987,6.698970004,7.669586227,6.331614083,7.223298816,5,6.709965389,6.308034897,6.931814138,6.844663963,6.982966661,NA,6.087777943,6.821023053,5,6.602059991,7.266802735,8.534617149,6.774690718,6.876148359,6.756961951
